time,lat,lon,tempanomaly
1915-03-15,51.0,21.0,-2.7
1915-04-15,51.0,21.0,0.25
1915-05-15,51.0,21.0,0.89
1915-06-15,51.0,21.0,1.77
1915-07-15,51.0,21.0,-0.06
1915-08-15,51.0,21.0,-1.3
1915-09-15,51.0,21.0,-1.7099999
1915-10-15,51.0,21.0,-2.1699998
1915-11-15,51.0,21.0,-2.6
1915-12-15,51.0,21.0,1.8299999
1916-01-15,51.0,21.0,4.81
1916-02-15,51.0,21.0,1.89
1916-03-15,51.0,21.0,1.66
1916-04-15,51.0,21.0,0.52
1916-05-15,51.0,21.0,-0.39
1916-06-15,51.0,21.0,-1.52
1916-07-15,51.0,21.0,-0.22999999
1916-08-15,51.0,21.0,-1.29
1916-09-15,51.0,21.0,-1.23
1916-10-15,51.0,21.0,-1.43
1916-11-15,51.0,21.0,0.82
1916-12-15,51.0,21.0,1.5999999
1917-01-15,51.0,21.0,-1.04
1917-02-15,51.0,21.0,-4.0099998
1917-03-15,51.0,21.0,-4.64
1917-04-15,51.0,21.0,-3.37
1917-05-15,51.0,21.0,0.61
1917-06-15,51.0,21.0,3.1999998
1917-07-15,51.0,21.0,-0.19999999
1917-08-15,51.0,21.0,1.8299999
1917-09-15,51.0,21.0,0.78999996
1917-10-15,51.0,21.0,0.9
1917-11-15,51.0,21.0,1.3199999
1917-12-15,51.0,21.0,-1.37
1918-01-15,51.0,21.0,2.46
1918-02-15,51.0,21.0,1.38
1918-03-15,51.0,21.0,0.79999995
1918-04-15,51.0,21.0,5.02
1918-05-15,51.0,21.0,0.81
1918-06-15,51.0,21.0,-2.96
1918-07-15,51.0,21.0,-0.17
1918-08-15,51.0,21.0,-0.9
1918-09-15,51.0,21.0,0.45
1918-10-15,51.0,21.0,1.56
1918-11-15,51.0,21.0,-1.31
1918-12-15,51.0,21.0,-0.01
1919-01-15,51.0,21.0,2.47
1919-02-15,51.0,21.0,1.06
1919-03-15,51.0,21.0,0.12
1919-04-15,51.0,21.0,-0.93
1919-05-15,51.0,21.0,-2.24
1919-06-15,51.0,21.0,-0.90999997
1919-07-15,51.0,21.0,-1.74
1919-08-15,51.0,21.0,-1.9
1919-09-15,51.0,21.0,2.46
1919-10-15,51.0,21.0,-1.39
1919-11-15,51.0,21.0,-6.52
1919-12-15,51.0,21.0,-0.89
1920-01-15,51.0,21.0,2.05
1920-02-15,51.0,21.0,3.31
1920-03-15,51.0,21.0,3.23
1920-04-15,51.0,21.0,4.2599998
1920-05-15,51.0,21.0,2.56
1920-06-15,51.0,21.0,-1.4499999
1920-07-15,51.0,21.0,2.31
1920-08-15,51.0,21.0,0.11
1920-09-15,51.0,21.0,-0.01
1920-10-15,51.0,21.0,-3.4099998
1920-11-15,51.0,21.0,-3.28
1920-12-15,51.0,21.0,-1.62
1921-01-15,51.0,21.0,6.2599998
1921-02-15,51.0,21.0,0.29
1921-03-15,51.0,21.0,4.46
1921-04-15,51.0,21.0,0.72999996
1921-05-15,51.0,21.0,2.8
1921-06-15,51.0,21.0,-0.97999996
1921-07-15,51.0,21.0,1.51
1921-08-15,51.0,21.0,1.41
1921-09-15,51.0,21.0,-0.55
1921-10-15,51.0,21.0,1.0
1921-11-15,51.0,21.0,-4.69
1921-12-15,51.0,21.0,-1.62
1922-01-15,51.0,21.0,-2.35
1922-02-15,51.0,21.0,-1.31
1922-03-15,51.0,21.0,1.17
1922-04-15,51.0,21.0,-1.37
1922-05-15,51.0,21.0,0.9
1922-06-15,51.0,21.0,0.28
1922-07-15,51.0,21.0,-0.02
1922-08-15,51.0,21.0,-0.82
1922-09-15,51.0,21.0,-2.1
1922-10-15,51.0,21.0,-3.75
1922-11-15,51.0,21.0,-2.6799998
1922-12-15,51.0,21.0,1.67
1923-01-15,51.0,21.0,3.52
1923-02-15,51.0,21.0,-0.26
1923-03-15,51.0,21.0,1.25
1923-04-15,51.0,21.0,-2.11
1923-05-15,51.0,21.0,0.28
1923-06-15,51.0,21.0,-4.2799997
1923-07-15,51.0,21.0,0.13
1923-08-15,51.0,21.0,-1.9699999
1923-09-15,51.0,21.0,0.37
1923-10-15,51.0,21.0,1.75
1923-11-15,51.0,21.0,-0.01
1923-12-15,51.0,21.0,-0.91999996
1924-01-15,51.0,21.0,-3.03
1924-02-15,51.0,21.0,-3.1
1924-03-15,51.0,21.0,-2.6399999
1924-04-15,51.0,21.0,-2.58
1924-05-15,51.0,21.0,1.7099999
1924-06-15,51.0,21.0,0.26
1924-07-15,51.0,21.0,-1.0799999
1924-08-15,51.0,21.0,-0.95
1924-09-15,51.0,21.0,0.94
1924-10-15,51.0,21.0,0.049999997
1924-11-15,51.0,21.0,-1.54
1924-12-15,51.0,21.0,-0.79999995
1925-01-15,51.0,21.0,4.87
1925-02-15,51.0,21.0,5.87
1925-03-15,51.0,21.0,-0.63
1925-04-15,51.0,21.0,0.04
1925-05-15,51.0,21.0,2.51
1925-06-15,51.0,21.0,-2.59
1925-07-15,51.0,21.0,0.21
1925-08-15,51.0,21.0,-0.63
1925-09-15,51.0,21.0,-1.66
1925-10-15,51.0,21.0,-1.4699999
1925-11-15,51.0,21.0,-1.13
1925-12-15,51.0,21.0,-0.21
1926-01-15,51.0,21.0,1.17
1926-02-15,51.0,21.0,3.07
1926-03-15,51.0,21.0,0.17999999
1926-04-15,51.0,21.0,1.31
1926-05-15,51.0,21.0,-0.29
1926-06-15,51.0,21.0,-0.95
1926-07-15,51.0,21.0,0.94
1926-08-15,51.0,21.0,-2.1
1926-09-15,51.0,21.0,-0.04
1926-10-15,51.0,21.0,-1.39
1926-11-15,51.0,21.0,3.99
1926-12-15,51.0,21.0,-0.65999997
1927-01-15,51.0,21.0,1.7199999
1927-02-15,51.0,21.0,0.25
1927-03-15,51.0,21.0,3.6799998
1927-04-15,51.0,21.0,-1.56
1927-05-15,51.0,21.0,-2.84
1927-06-15,51.0,21.0,-0.79999995
1927-07-15,51.0,21.0,1.29
1927-08-15,51.0,21.0,0.41
1927-09-15,51.0,21.0,0.44
1927-10-15,51.0,21.0,-0.19999999
1927-11-15,51.0,21.0,-1.8499999
1927-12-15,51.0,21.0,-4.85
1928-01-15,51.0,21.0,2.76
1928-02-15,51.0,21.0,1.31
1928-03-15,51.0,21.0,-1.8199999
1928-04-15,51.0,21.0,-0.84999996
1928-05-15,51.0,21.0,-1.66
1928-06-15,51.0,21.0,-2.55
1928-07-15,51.0,21.0,0.78
1928-08-15,51.0,21.0,-1.36
1928-09-15,51.0,21.0,-0.24
1928-10-15,51.0,21.0,0.01
1928-11-15,51.0,21.0,2.75
1928-12-15,51.0,21.0,-1.4599999
1929-01-15,51.0,21.0,-3.36
1929-02-15,51.0,21.0,-11.42
1929-03-15,51.0,21.0,-3.1999998
1929-04-15,51.0,21.0,-5.33
1929-05-15,51.0,21.0,2.07
1929-06-15,51.0,21.0,-2.01
1929-07-15,51.0,21.0,-0.22999999
1929-08-15,51.0,21.0,0.7
1929-09-15,51.0,21.0,-0.04
1929-10-15,51.0,21.0,2.24
1929-11-15,51.0,21.0,0.96
1929-12-15,51.0,21.0,2.61
1930-01-15,51.0,21.0,4.0499997
1930-02-15,51.0,21.0,1.8399999
1930-03-15,51.0,21.0,1.24
1930-04-15,51.0,21.0,1.05
1930-05-15,51.0,21.0,0.02
1930-06-15,51.0,21.0,2.07
1930-07-15,51.0,21.0,-0.57
1930-08-15,51.0,21.0,-1.1
1930-09-15,51.0,21.0,-0.53999996
1930-10-15,51.0,21.0,0.52
1930-11-15,51.0,21.0,1.42
1930-12-15,51.0,21.0,-1.7199999
1931-01-15,51.0,21.0,1.8499999
1931-02-15,51.0,21.0,-0.62
1931-03-15,51.0,21.0,-2.48
1931-04-15,51.0,21.0,-2.84
1931-05-15,51.0,21.0,4.0299997
1931-06-15,51.0,21.0,-0.049999997
1931-07-15,51.0,21.0,0.38
1931-08-15,51.0,21.0,-0.5
1931-09-15,51.0,21.0,-2.73
1931-10-15,51.0,21.0,-1.5899999
1931-11-15,51.0,21.0,-1.4399999
1931-12-15,51.0,21.0,0.66999996
1932-01-15,51.0,21.0,3.22
1932-02-15,51.0,21.0,-2.96
1932-03-15,51.0,21.0,-3.6499999
1932-04-15,51.0,21.0,-0.31
1932-05-15,51.0,21.0,2.09
1932-06-15,51.0,21.0,-1.66
1932-07-15,51.0,21.0,2.69
1932-08-15,51.0,21.0,1.36
1932-09-15,51.0,21.0,2.28
1932-10-15,51.0,21.0,0.83
1932-11-15,51.0,21.0,-0.17999999
1932-12-15,51.0,21.0,1.1899999
1933-01-15,51.0,21.0,-3.6499999
1933-02-15,51.0,21.0,0.78
1933-03-15,51.0,21.0,1.23
1933-04-15,51.0,21.0,-3.1299999
1933-05-15,51.0,21.0,-1.37
1933-06-15,51.0,21.0,-1.77
1933-07-15,51.0,21.0,1.02
1933-08-15,51.0,21.0,-0.72999996
1933-09-15,51.0,21.0,-0.58
1933-10-15,51.0,21.0,0.03
1933-11-15,51.0,21.0,-1.9799999
1933-12-15,51.0,21.0,-5.5
1934-01-15,51.0,21.0,1.56
1934-02-15,51.0,21.0,2.9299998
1934-03-15,51.0,21.0,2.8999999
1934-04-15,51.0,21.0,2.61
1934-05-15,51.0,21.0,1.81
1934-06-15,51.0,21.0,-0.02
1934-07-15,51.0,21.0,-0.13
1934-08-15,51.0,21.0,0.74
1934-09-15,51.0,21.0,1.99
1934-10-15,51.0,21.0,1.64
1934-11-15,51.0,21.0,2.22
1934-12-15,51.0,21.0,0.89
1935-01-15,51.0,21.0,-1.4499999
1935-02-15,51.0,21.0,2.23
1935-03-15,51.0,21.0,-0.53
1935-04-15,51.0,21.0,-0.28
1935-05-15,51.0,21.0,-2.24
1935-06-15,51.0,21.0,1.64
1935-07-15,51.0,21.0,-1.26
1935-08-15,51.0,21.0,-0.13
1935-09-15,51.0,21.0,0.37
1935-10-15,51.0,21.0,1.4
1935-11-15,51.0,21.0,-0.06
1935-12-15,51.0,21.0,1.13
1936-01-15,51.0,21.0,5.69
1936-02-15,51.0,21.0,-0.41
1936-03-15,51.0,21.0,2.8899999
1936-04-15,51.0,21.0,-0.35
1936-05-15,51.0,21.0,2.51
1936-06-15,51.0,21.0,0.69
1936-07-15,51.0,21.0,2.06
1936-08-15,51.0,21.0,-1.18
1936-09-15,51.0,21.0,-0.95
1936-10-15,51.0,21.0,-3.1699998
1936-11-15,51.0,21.0,1.3399999
1936-12-15,51.0,21.0,1.9399999
1937-01-15,51.0,21.0,-2.62
1937-02-15,51.0,21.0,1.9699999
1937-03-15,51.0,21.0,1.3399999
1937-04-15,51.0,21.0,0.21
1937-05-15,51.0,21.0,4.46
1937-06-15,51.0,21.0,1.61
1937-07-15,51.0,21.0,0.35
1937-08-15,51.0,21.0,1.4699999
1937-09-15,51.0,21.0,1.63
1937-10-15,51.0,21.0,0.64
